ลำดับ,รหัสโรงเรียน,ชื่อโรงเรียน,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,การรับอุดหนุน,สถานะโรงเรียน
107,1312100116,วิทยาลัยเทคโนโลยีสยามบริหารธุรกิจ นนทบุรี,49/178,8,,รัตนาธิเบศร์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,02-589-1133,13.8603839,100.519371,รับอุดหนุน,เปิดกิจการ
108,1312100130,วิทยาลัยเทคโนโลยีอัร-รอบิตี,33,2,,,ละหาร,บางบัวทอง,นนทบุรี,870066234,13.9262897,100.4349052,รับอุดหนุน,เปิดกิจการ
109,1312100136,วิทยาลัยเทคโนโลยีนนทบุรี,100,2,บางรักน้อย 14,ราชพฤกษ์,บางรักน้อย,เมืองนนทบุรี,นนทบุรี,0 28042171,13.8619248,100.4498719,ไม่รับอุดหนุน,เปิดกิจการ
110,1313100068,วิทยาลัยเทคโนโลยีแหลมทอง,16-มี.ค.,2,สุวิมล,ปทุมธานี-กรุงเทพ,บางหลวง,เมืองปทุมธานี,ปทุมธานี,02-581-5548,13.9992726,100.5170001,รับอุดหนุน,เปิดกิจการ
111,1313100069,วิทยาลัยเทคโนโลยีปทุมธานี,130,4,,ติวานนท์,บ้านกลาง,เมืองปทุมธานี,ปทุมธานี,02-979-6720,14.0127262,100.5497919,รับอุดหนุน,เปิดกิจการ
112,1313100085,วิทยาลัยอาชีวศึกษาณัฐนนท์,59,8,,,คลองสาม,คลองหลวง,ปทุมธานี,21912965,,,ไม่รับอุดหนุน,เลิกกิจการ
113,1313100088,วิทยาลัยเทคโนโลยีบุญถาวร,36/2,11,ไอยรา 5,,คลองสอง,คลองหลวง,ปทุมธานี,029082392-4,14.0973475,100.6403265,รับอุดหนุน,เปิดกิจการ
114,1314100023,วิทยาลัยเทคโนโลยีบริหารธุรกิจอยุธยา,21/23,2,,อู่ทอง,ท่าวาสุกรี,พระนครศรีอยุธยา,พระนครศรีอยุธยา,035-321-202,14.3565264,100.5487509,รับอุดหนุน,เปิดกิจการ
115,1314100024,วิทยาลัยเทคโนโลยีพณิชยการอยุธยา,94,6,,โรจนะ,ไผ่ลิง,พระนครศรีอยุธยา,พระนครศรีอยุธยา,035-335-873,14.3507003,100.6018858,รับอุดหนุน,เปิดกิจการ
116,1314100025,วิทยาลัยเทคโนโลยีอยุธยา,21/48,2,,,ท่าวาสุกรี,พระนครศรีอยุธยา,พระนครศรีอยุธยา,035-242-247,14.35701,100.551692,รับอุดหนุน,เปิดกิจการ
117,1314100026,วิทยาลัยเทคโนโลยีผดุงเสนาบริหารธุรกิจ,123/1,8,,,สามกอ,เสนา,พระนครศรีอยุธยา,035-217-154,14.3209382,100.3962958,รับอุดหนุน,เปิดกิจการ
118,1314100027,วิทยาลัยเทคโนโลยีไทยอโยธยาบริหารธุรกิจ,91/1,1,,โรจนะ,ธนู,อุทัย,พระนครศรีอยุธยา,35336335,14.3459956,100.6079747,รับอุดหนุน,เปิดกิจการ
119,1315100009,วิทยาลัยเทคโนโลยีเมืองอ่างทอง,44/35,4,,,ศาลาแดง,เมืองอ่างทอง,อ่างทอง,035-616-100,,,ไม่รับอุดหนุน,ไม่มีสภาพ
120,1316100038,วิทยาลัยเทคโนโลยีเอเชียลพบุรี,พ.ค.-45,3,,,ป่าตาล,เมืองลพบุรี,ลพบุรี,036-424-345,14.79312,100.6376111,รับอุดหนุน,เปิดกิจการ
121,1316100039,วิทยาลัยเทคโนโลยีพณิชยการลพบุรี,60/10,3,,นเรศวร,ป่าตาล,เมืองลพบุรี,ลพบุรี,036-413-475,14.7905831,100.6362214,รับอุดหนุน,เปิดกิจการ
122,1316100040,วิทยาลัยเทคโนโลยีละโว้,95/11,4,,,เขาสามยอด,เมืองลพบุรี,ลพบุรี,036-413-139,14.8279145,100.6487021,รับอุดหนุน,เปิดกิจการ
123,1316100041,วิทยาลัยเทคโนโลยีลพบุรี,237,,,นารายณ์มหาราช,ทะเลชุบศร,เมืองลพบุรี,ลพบุรี,036-412-568,14.799258,100.630918,รับอุดหนุน,เปิดกิจการ
124,1316100042,วิทยาลัยเทคโนโลยีบริหารธุรกิจละโว้,19,11,,,นิคมสร้างตนเอง,เมืองลพบุรี,ลพบุรี,036-785-307,,,รับอุดหนุน,เลิกกิจการ
125,1316100044,วิทยาลัยเทคโนโลยีชัยบาดาล,244/4,6,,ท่าดินดำ,ลำนารายณ์,ชัยบาดาล,ลพบุรี,036-680-114,15.2021543,101.1378367,รับอุดหนุน,เปิดกิจการ
126,1316100049,วิทยาลัยเทคโนโลยีอาชีวศึกษาหนองม่วง,555,2,,,หนองม่วง,หนองม่วง,ลพบุรี,36432266,15.2274609,100.6639813,รับอุดหนุน,เปิดกิจการ
127,1317100014,วิทยาลัยเทคโนโลยีบริหารธุรกิจสิงห์บุรี,601,,,ธรรมโชติ,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,36511622,14.89100615,100.4019543,ไม่รับอุดหนุน,เปิดกิจการ
128,1317100015,วิทยาลัยเทคโนโลยีพณิชยการสิงห์บุรี,601,,,ธรรมโชติ,บางพุทรา,เมืองสิงห์บุรี,สิงห์บุรี,36511907,14.8909569,100.401796,รับอุดหนุน,เปิดกิจการ
129,1318100009,วิทยาลัยเทคโนโลยีชัยนาท,194,6,,,บ้านกล้วย,เมืองชัยนาท,ชัยนาท,056-411-508,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
130,1319100022,โปลีเทคนิคสระบุรี,,,,,,,,,,,รับอุดหนุน,เลิกกิจการ
131,1319100025,วิทยาลัยเทคโนโลยีชื่นชมไทย-เยอรมันสระบุรี,116/2,10,,แก่งคอย-บ้านนา,ตาลเดี่ยว,แก่งคอย,สระบุรี,036-358-311-4,14.5367345,101.0081583,รับอุดหนุน,เปิดกิจการ
132,1319100026,วิทยาลัยเทคโนโลยีอาชีวเกษตรสงเคราะห์สระบุรี,90/2,1,,,แก่งคอย,แก่งคอย,สระบุรี,36200343,14.54513386,101.0764707,ไม่รับอุดหนุน,เปิดกิจการ
133,1319100027,วิทยาลัยอาชีวศึกษาสยามภูมิ,99,1,,พหลโยธิน,เขาดินพัฒนา,เฉลิมพระเกียรติ,สระบุรี,036-679740,,,ไม่รับอุดหนุน,เลิกกิจการ
134,1320100100,วิทยาลัยเทคโนโลยีดาราสมุทรบริหารธุรกิจ,314/8,5,เมรี่,เศรษฐกิจ,บ้านสวน,เมืองชลบุรี,ชลบุรี,038-799-851-2,,,ไม่รับอุดหนุน,ไม่มีนักเรียน/ไม่จัดการเรียนการสอน
135,1320100102,วิทยาลัยเทคโนโลยีชลพินิจ,156/5,3,บ้านสวน-สุขุมวิท23,สุขุมวิท,บ้านสวน,เมืองชลบุรี,ชลบุรี,038-285-371,13.3455643,100.971559,รับอุดหนุน,เปิดกิจการ
136,1320100103,วิทยาลัยอาชีวศึกษาเทคนิคบริหารธุรกิจกรุงเทพชลบุรี,60/9,4,สุขาภิบาล11,,หนองข้างคอก,เมืองชลบุรี,ชลบุรี,038-151-089,13.336861,100.9986976,รับอุดหนุน,เปิดกิจการ
137,1320100104,วิทยาลัยเทคโนโลยีไทยเบญจบริหารธุรกิจชลบุรี,695/11 ก.,,,,มะขามหย่ง,เมืองชลบุรี,ชลบุรี,038-277-777,,,ไม่รับอุดหนุน,เลิกกิจการ
138,1320100105,วิทยาลัยเทคโนโลยีเมืองชลพณิชยการ,856ข,,,เจตน์จำนง,บางปลาสร้อย,เมืองชลบุรี,ชลบุรี,038-271-558,13.3653851,100.9881544,รับอุดหนุน,เปิดกิจการ
139,1320100106,วิทยาลัยเทคโนโลยีชลบุรี,80/90,3,,สุขุมวิท,เสม็ด,เมืองชลบุรี,ชลบุรี,038-784-681-4,13.320839,100.960557,รับอุดหนุน,เปิดกิจการ
140,1320100107,วิทยาลัยเทคโนโลยีชลบุรีบริหารธุรกิจ,478,,,ราษฎร์ประสงค์,มะขามหย่ง,เมืองชลบุรี,ชลบุรี,038-270-555,13.37093,100.988946,รับอุดหนุน,เปิดกิจการ
141,1320100108,วิทยาลัยเทคโนโลยีวิศวกรรม บริหารธุรกิจ,89,8,,เศรษฐกิจ (ชลบุรี - บ้านบึง),หนองรี,เมืองชลบุรี,ชลบุรี,038-476-599,13.3422277,101.0483419,รับอุดหนุน,เปิดกิจการ
142,1320100109,วิทยาลัยอาชีวศึกษาพณิชยการชลบุรี,55/5,1,,ชลบุรี-บ้านบึง,หนองซ้ำซาก,บ้านบึง,ชลบุรี,038-379-523,13.33796706,101.0612482,รับอุดหนุน,เปิดกิจการ
143,1320100110,วิทยาลัยเทคโนโลยีพัทยาบริหารธุรกิจ,,,,,นาเกลือ,บางละมุง,ชลบุรี,,12.9235557,100.8824551,ไม่รับอุดหนุน,เปิดกิจการ
144,1320100111,วิทยาลัยเทคโนโลยีอักษรพัทยา,189/30,11,,เทพประสิทธิ์,หนองปรือ,บางละมุง,ชลบุรี,0-3841-5611,12.9115769,100.8911561,รับอุดหนุน,เปิดกิจการ
145,1320100112,วิทยาลัยเทคโนโลยีไทยอิโตะ,310/6,6,,สุขุมวิท,หนองปรือ,บางละมุง,ชลบุรี,038-411-064,12.937732,100.920256,รับอุดหนุน,เปิดกิจการ
146,1320100113,วิทยาลัยเทคโนโลยีพัทยาพณิชยการ,119,5,,พัทยา-นาเกลือ,นาเกลือ,บางละมุง,ชลบุรี,038-423-938,12.9626059,100.8969617,รับอุดหนุน,เปิดกิจการ
147,1320100114,วิทยาลัยเทคโนโลยีภาคตะวันออก (อี.เทค),231,2,,สุขประยูร,หนองตำลึง,พานทอง,ชลบุรี,038-206081-3,13.413027,101.062116,รับอุดหนุน,เปิดกิจการ
148,1320100115,วิทยาลัยเทคโนโลยีวิศวกรรมแหลมฉบัง,38/29,5,,,ทุ่งสุขลา,ศรีราชา,ชลบุรี,038-490-490,13.0812917,100.9131956,รับอุดหนุน,เปิดกิจการ
149,1320100116,วิทยาลัยเทคโนโลยีอีอีซี เอ็นจิเนีย แหลมฉบัง,75/2,10,,สุขาภิบาล 10,ทุ่งสุขลา,ศรีราชา,ชลบุรี,038-494-063,13.0866064,100.9363918,รับอุดหนุน,เปิดกิจการ
150,1320100117,วิทยาลัยเทคโนโลยีศรีราชา,ธ.ค.-19,2,,สุขุมวิท,ทุ่งสุขลา,ศรีราชา,ชลบุรี,038-352-440,13.105705,100.914587,รับอุดหนุน,เปิดกิจการ
151,1320100118,วิทยาลัยเทคโนโลยีพณิชยการสัตหีบ,175,9,,สุขุมวิท,นาจอมเทียน,สัตหีบ,ชลบุรี,038-237-718,12.820536,100.918596,รับอุดหนุน,เปิดกิจการ
152,1320100119,วิทยาลัยเทคโนโลยีจอมเทียนบริหารธุรกิจ,133/5,8,,,บางเสร่,สัตหีบ,ชลบุรี,817619464,12.7601661,100.9027748,รับอุดหนุน,เปิดกิจการ
153,1320100135,วิทยาลัยเทคโนโลยีบางละมุงอินเตอร์-เทค,134/1,3,วัดประชุมคงคา,สุขุมวิท,บางละมุง,บางละมุง,ชลบุรี,038-234-343,13.0211312,100.9290067,รับอุดหนุน,เปิดกิจการ
154,1320100141,วิทยาลัยอาชีวศึกษาคิงส์ตัน พัทยา,297/1-5,6,,สุขุมวิท,นาเกลือ,บางละมุง,ชลบุรี,038-429-350,12.95487,100.9071984,ไม่รับอุดหนุน,เปิดกิจการ
155,1320100167,วิทยาลัยเทคโนโลยีเมืองชลบริหารธุรกิจ,111,2,,สุขุมวิท,บางพระ,ศรีราชา,ชลบุรี,038-341888,13.2227005,100.9394555,รับอุดหนุน,เปิดกิจการ
156,1320100170,วิทยาลัยเทคโนโลยีทางทะเลแห่งเอเชีย,79/4,4,,,บึง,ศรีราชา,ชลบุรี,038-042-011,13.0615666,100.9901373,รับอุดหนุน,เปิดกิจการ
157,1320100173,วิทยาลัยเทคโนโลยีภาคตะวันออก (อี.เทค) ชลบุรี,231/2,2,,,หนองตำลึง,พานทอง,ชลบุรี,206081,,,ไม่รับอุดหนุน,ควบรวมกิจการ
158,1320100174,วิทยาลัยเทคโนโลยีสว่างบริบูรณ์ พัทยา,31/40,5,,,หนองปรือ,บางละมุง,ชลบุรี,954058798,12.93327905,100.9153818,รับอุดหนุน,เปิดกิจการ
159,1320100175,วิทยาลัยเทคโนโลยีพระมหาไถ่ พัทยา,440,9,,,หนองปรือ,บางละมุง,ชลบุรี,089 403 5950,12.9401655,100.8985977,รับอุดหนุน,เปิดกิจการ
160,1320100176,วิทยาลัยเทคโนโลยีอักษรบางละมุง,265/46,1,บางละมุง 27,สุขุมวิท,บางละมุง,บางละมุง,ชลบุรี,38182585,13.0160255,100.9330679,รับอุดหนุน,เปิดกิจการ
161,1321100032,วิทยาลัยเทคโนโลยีระยองบริหารธุรกิจ,77/1,,ทางเข้าเรือนจำ ,จันทอุดม,เชิงเนิน,เมืองระยอง,ระยอง,38861568,12.6900267,101.2784068,รับอุดหนุน,เปิดกิจการ
162,1321100033,วิทยาลัยเทคโนโลยีไออาร์พีซี,309,5,,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,038-022-835-7,12.6683532,101.3163256,รับอุดหนุน,เปิดกิจการ
163,1321100034,วิทยาลัยอาชีวศึกษาโปลีเทคนิคระยอง,299/1,5,,สุขุมวิท,เชิงเนิน,เมืองระยอง,ระยอง,038-022-845,12.6644247,101.3145436,รับอุดหนุน,เปิดกิจการ
164,1321100035,วิทยาลัยเทคโนโลยีพัฒนเวช,171/5,4,,หาดยาว-คลองบางไผ่,สำนักท้อน,บ้านฉาง,ระยอง,038-030-442,12.7128279,101.0020831,รับอุดหนุน,เปิดกิจการ
165,1321100042,วิทยาลัยเทคโนโลยีอักษรบริหารธุรกิจ,111/7,3,,สุขุมวิท,บ้านฉาง,บ้านฉาง,ระยอง,038-604-7412,12.7281499,101.0611836,รับอุดหนุน,เปิดกิจการ
166,1321100043,วิทยาลัยเทคโนโลยีอาเซียนบริหารธุรกิจ,10-ส.ค.,,สุนทรภู่ 4,,วังหว้า,แกลง,ระยอง,038-026-400,12.7680567,101.643012,รับอุดหนุน,เปิดกิจการ
167,1322100020,วิทยาลัยเทคโนโลยีจันทบุรี,594,1,,เฉลิมพระเกียรติ ร.9,ปะตง,สอยดาว,จันทบุรี,039-421-218,13.139855,102.206241,รับอุดหนุน,เปิดกิจการ
168,1322100044,วิทยาลัยเทคโนโลยีตากสินบริหารธุรกิจ,79,4,,เฉลิมพระเกียรติ ร.9,ปัถวี,มะขาม,จันทบุรี,39389555,12.7065197,102.2134798,รับอุดหนุน,เปิดกิจการ
169,1322100050,วิทยาลัยอาชีวศึกษาออมสินอุปถัมภ์,199,3,,ท่าแฉลบ,บางกะจะ,เมืองจันทบุรี,จันทบุรี,039-391-666,12.5826121,102.0774226,รับอุดหนุน,เปิดกิจการ
170,1324100024,วิทยาลัยเทคโนโลยีศรีวรการ,44,,,สรรค์ประศาสน์,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,038-511-074,13.690361,101.0862821,รับอุดหนุน,เปิดกิจการ
171,1324100025,วิทยาลัยเทคโนโลยีฉะเชิงเทรา,มี.ค.-48,,5,ศรีโสธรตัดใหม่,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,38512426,13.7544156,101.5022877,รับอุดหนุน,เปิดกิจการ
172,1324100026,วิทยาลัยเทคโนโลยียานยนต์โตโยต้า,25,7,,สุวินทวงศ์,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,38092103117,13.760739,100.9901675,ไม่รับอุดหนุน,เปิดกิจการ
173,1324100027,โรงเรียนพณิชยการฉะเชิงเทรา,มี.ค.-20,,,ศรีโสธรตัดใหม่,หน้าเมือง,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,385160234,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
174,1324100028,วิทยาลัยเทคโนโลยีบางปะกงบริหารธุรกิจ,1/425,14,7-มี.ค.,จรัญญานนท์,บางวัว,บางปะกง,ฉะเชิงเทรา,"385,388,090,802,099,000",13.5457302,100.9717047,รับอุดหนุน,เปิดกิจการ
175,1324100042,วิทยาลัยเทคโนโลยีอาเซียนไทยบ้านโพธิ์,99/9,3,,,หนองตีนนก,บ้านโพธิ์,ฉะเชิงเทรา,958581053,13.6033834,101.1104252,รับอุดหนุน,เปิดกิจการ
176,1324100044,วิทยาลัยเทคโนโลยีวิถีอิสลาม,57,4,,,ดอนฉิมพลี,บางน้ำเปรี้ยว,ฉะเชิงเทรา,038-585204,,,ไม่รับอุดหนุน,ไม่มีนักเรียน/ไม่จัดการเรียนการสอน
177,1324100045,วิทยาลัยเทคโนโลยีการจัดการนวัตกรรม,45/3,1,,,แสนภูดาษ,บ้านโพธิ์,ฉะเชิงเทรา,38090620,13.56802,101.03092,รับอุดหนุน,เปิดกิจการ
178,1325100022,วิทยาลัยอาชีวศึกษาพณิชยการปราจีนบุรี,97,,,เทศบาลดำริ,หน้าเมือง,เมืองปราจีนบุรี,ปราจีนบุรี,037-211-401,14.0553218,101.3680595,รับอุดหนุน,เปิดกิจการ
179,1325100023,วิทยาลัยเทคโนโลยีสายมิตรปราจีนบุรี,303,11,,304 นครราชสีมา-ฉะเชิงเทรา,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,037-480-866-7,13.8768533,101.6726755,รับอุดหนุน,เปิดกิจการ
180,1325100024,วิทยาลัยอาชีวศึกษากบินทร์บุรี,49,,,ริมน้ำ,กบินทร์,กบินทร์บุรี,ปราจีนบุรี,037-480-922,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
181,1325100025,วิทยาลัยเทคโนโลยีนครกบินทร์,295,4,,304,เมืองเก่า,กบินทร์บุรี,ปราจีนบุรี,37281963,14.01776269,101.7782755,รับอุดหนุน,เปิดกิจการ
182,1326100013,วิทยาลัยเทคโนโลยีวีรพัฒน์,ข4-386/4,,,สุวรรณศร,นครนายก,เมืองนครนายก,นครนายก,037-321-245,14.197389,101.220986,รับอุดหนุน,เปิดกิจการ
183,1326100014,วิทยาลัยเทคโนโลยีพณิชยการนครนายก,ข4-196/6,,,วัดอุดมธานี,นครนายก,เมืองนครนายก,นครนายก,37311691,14.206624,101.227383,รับอุดหนุน,เปิดกิจการ
184,1326100025,วิทยาลัยอาชีวศึกษาสิริวัฒน์,207/1,4,,,ดงละคร,เมืองนครนายก,นครนายก,972385917,14.16377075,101.1691754,รับอุดหนุน,เปิดกิจการ
185,1327100010,วิทยาลัยเทคโนโลยีสระแก้ว,337,1,,สุวรรณศร,ศาลาลำดวน,เมืองสระแก้ว,สระแก้ว,037-247-147,13.8671915,102.0181024,รับอุดหนุน,เปิดกิจการ
186,1327100012,วิทยาลัยเทคโนโลยี ไฮเทค สระแก้ว,888,2,,สุวรรณศร,ท่าเกษม,เมืองสระแก้ว,สระแก้ว,037-447-320,16.8505042,99.1177851,รับอุดหนุน,เปิดกิจการ
187,1327100013,วิทยาลัยเทคโนโลยีอรัญประเทศ,145,1,,,บ้านด่าน,อรัญประเทศ,สระแก้ว,037-433-171,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
188,1330100094,วิทยาลัยเทคโนโลยีอาชีวศึกษา,199,4,,มิตรภาพ-ขอนแก่น,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,044-955-111-4,15.0639351,102.1841842,รับอุดหนุน,เปิดกิจการ
189,1330100095,วิทยาลัยเทคโนโลยีอาชีวศึกษานครราชสีมา,199,4,,มิตรภาพ-ขอนแก่น,บ้านโพธิ์,เมืองนครราชสีมา,นครราชสีมา,044-955-111-4,15.0639351,102.1841842,ไม่รับอุดหนุน,เปิดกิจการ
190,1330100096,วิทยาลัยเทคโนโลยีชนะพลขันธ์ นครราชสีมา,77/1,4,,มิตรภาพ,บ้านใหม่,เมืองนครราชสีมา,นครราชสีมา,44465168,14.9493004,102.0106511,รับอุดหนุน,เปิดกิจการ
191,1330100098,โรงเรียนเมรี่เทคโนโลยี,804,,ลำปรุ 2,มิตรภาพ,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,044-241427,,,ไม่รับอุดหนุน,เลิกกิจการ
192,1330100099,วิทยาลัยเทคโนโลยีมารีย์บริหารธุรกิจ,888,,4,เดชอุดม,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,044-205-316,14.97008,102.0812,รับอุดหนุน,เปิดกิจการ
193,1330100100,วิทยาลัยเทคโนโลยีช่างกลพณิชยการนครราชสีมา,700,,,กีฬากลาง,ในเมือง,เมืองนครราชสีมา,นครราชสีมา,44924113,14.993949,102.1093654,รับอุดหนุน,เปิดกิจการ
194,1330100101,วิทยาลัยเทคโนโลยีบัวใหญ่,77/1,,,เทศบาล 7,บัวใหญ่,บัวใหญ่,นครราชสีมา,444623902,15.5782127,102.4246639,รับอุดหนุน,เปิดกิจการ
195,1330100102,วิทยาลัยอาชีวศึกษากุสุมภ์เทคโนโลยี,148,,,มิตรภาพ,ปากช่อง,ปากช่อง,นครราชสีมา,044-311-211,14.6842336,101.4055872,รับอุดหนุน,เปิดกิจการ
196,1330100103,วิทยาลัยเทคโนโลยีพณิชยการปากช่อง,64,,,เทศบาล 29,ปากช่อง,ปากช่อง,นครราชสีมา,44312021,14.7134647,101.4200971,รับอุดหนุน,เปิดกิจการ
197,1330100104,วิทยาลัยเทคโนโลยีสายมิตรนครราชสีมา,178,2,,โชคชัย - เดชอุดม,บ้านใหม่,หนองบุญมาก,นครราชสีมา,"44,081,048,044,490,100",14.7411956,102.3801203,รับอุดหนุน,เปิดกิจการ
198,1330100111,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย คง,189/3-5,8,,,เมืองคง,คง,นครราชสีมา,44469341,15.4378255,102.3193512,รับอุดหนุน,เปิดกิจการ
199,1330100118,วิทยาลัยอาชีวศึกษาเซนต์แอนน์,210,1,,,แชะ,ครบุรี,นครราชสีมา,44007355,14.4349111,102.1632718,รับอุดหนุน,เปิดกิจการ
200,1330100119,วิทยาลัยอาชีวศึกษาจุลมณีสุรนารี,90,1,,,โนนเมือง,ขามสะแกแสง,นครราชสีมา,44002778,15.4168139,102.137212,รับอุดหนุน,เปิดกิจการ
201,1330100120,วิทยาลัยอาชีวศึกษาเพชรน้ำหนึ่ง,35,5,,,ไทยเจริญ,หนองบุญมาก,นครราชสีมา,933219621,14.7511234,102.4631112,รับอุดหนุน,เปิดกิจการ
202,1330100121,วิทยาลัยเทคโนโลยีอินเทคบัวใหญ่,18,,,สุรนารี 3,บัวใหญ่,บัวใหญ่,นครราชสีมา,899414383,15.5751717,102.4327801,รับอุดหนุน,เปิดกิจการ
203,1331100014,วิทยาลัยเทคโนโลยีเบญจ,259,16,,บุรีรัมย์-สุรินทร์,สวายจีก,เมืองบุรีรัมย์,บุรีรัมย์,044-634-770,14.9329935,103.1430982,รับอุดหนุน,เปิดกิจการ
204,1331100015,รัตนเทคโนโลยี,,,,,,,,,,,ไม่รับอุดหนุน,เลิกกิจการ
205,1331100047,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย ละหานทราย,149/2,9,,ละหานทราย-ตาพระยา,ละหานทราย,ละหานทราย,บุรีรัมย์,044-649-327,14.3970099,102.8507786,รับอุดหนุน,เปิดกิจการ
206,1331100048,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย พุทไธสง,136,5,,,พุทไธสง,พุทไธสง,บุรีรัมย์,044-110-458,15.5625346,102.9773816,รับอุดหนุน,เปิดกิจการ
207,1331100055,วิทยาลัยอาชีวศึกษาพณิชยการบุรีรัมย์,73,7,,โชคชัย-เดชอุดม,หนองกี่,หนองกี่,บุรีรัมย์,044-641-841,14.6802192,102.5493541,รับอุดหนุน,เปิดกิจการ
208,1331100057,วิทยาลัยอาชีวศึกษานาฏศิลป์และการท่องเที่ยวบุรีรัมย์,66,11,,บุรีรัมย์-นางรอง,ถนนหัก,นางรอง,บุรีรัมย์,044-632-526,14.6409552,102.8361647,รับอุดหนุน,เปิดกิจการ
209,1332100005,โรงเรียนเบญจเทคโนสุรินทร์,262,2,,สุรินทร์ - สังขะ,นอกเมือง,เมืองสุรินทร์,สุรินทร์,44512740,,,ไม่รับอุดหนุน,เลิกกิจการ
210,1332100007,เทคโนโลยีสุรินทร์ศึกษา,3-ก.พ.,,,ปอยปริง,ในเมือง,เมืองสุรินทร์,สุรินทร์,044-520-038,,,ไม่รับอุดหนุน,เลิกกิจการ
211,1333100014,วิทยาลัยอาชีวศึกษาศรีสะเกษบริหารธุรกิจ,63,8,,วิจิตรนคร,น้ำคำ,เมืองศรีสะเกษ,ศรีสะเกษ,45613046,15.1334844,104.3312581,รับอุดหนุน,เปิดกิจการ
212,1333100015,วิทยาลัยเทคโนโลยีศรีสะเกษ,1477/11,,,วิจิตรนคร,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,045-613-072,15.1128441,104.3328182,รับอุดหนุน,เปิดกิจการ
213,1333100021,วิทยาลัยอาชีวศึกษาจุลมณีศรีสะเกษ,54/1,11,,อุบล-ศรีสะเกษ,ดูน,กันทรารมย์,ศรีสะเกษ,45651705,15.1006645,104.5651996,รับอุดหนุน,เปิดกิจการ
214,1333100023,วิทยาลัยเทคโนโลยีพณิชยการราษีไศล,159,14,,,เมืองคง,ราษีไศล,ศรีสะเกษ,45681210,15.3550197,104.1535045,รับอุดหนุน,เปิดกิจการ
215,1333100025,วิทยาลัยอาชีวศึกษาสัมมาสิกขาศีรษะอโศก,270,15,,ศรีสะเกษ - กันทรลักษ์,กระแชง,กันทรลักษ์,ศรีสะเกษ,45810621,14.664693,104.59279,รับอุดหนุน,เปิดกิจการ
216,1333100028,วิทยาลัยเทคโนโลยีพาณิชยการปรางค์กู่,159,14,,,กู่,ปรางค์กู่,ศรีสะเกษ,45826284,14.858771,104.010314,รับอุดหนุน,เปิดกิจการ
217,1333100038,วิทยาลัยอาชีวศึกษาจุลมณีอุทุมพรพิสัย,48,7,,ศรีอุทุมพร,กำแพง,อุทุมพรพิสัย,ศรีสะเกษ,45692563,15.1130726,104.1470866,รับอุดหนุน,เปิดกิจการ
218,1333100040,วิทยาลัยเทคโนโลยีบริหารธุรกิจรักไทย ขุขันธ์,407,3,,,ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,045-826-544,14.7008237,104.1993424,รับอุดหนุน,เปิดกิจการ
219,1333100043,วิทยาลัยเทคโนโลยีศรีสะเกษบริหารธุรกิจ,199,10,,,หนองหญ้าลาด,กันทรลักษ์,ศรีสะเกษ,45810628,14.6657815,104.6239308,รับอุดหนุน,เปิดกิจการ
220,1333100049,วิทยาลัยเทคโนโลยีไพรบึง,266,15,,,สำโรงพลัน,ไพรบึง,ศรีสะเกษ,986486621,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
221,1333100050,วิทยาลัยเทคโนโลยีหลวงปู่สรวงวัดไพรพัฒนา,258,3,,,ไพรพัฒนา,ภูสิงห์,ศรีสะเกษ,812659154,14.4663666,104.0714878,รับอุดหนุน,เปิดกิจการ
222,1334010240,วิทยาลัยอาชีวศึกษาการท่องเที่ยวและการโรงแรมอุบลราชธานี,379,9,,,โนนผึ้ง,วารินชำราบ,อุบลราชธานี,045-210673,15.1503823,104.8276804,รับอุดหนุน,เปิดกิจการ
